
Errors of cell definition in EPS Page No. =   1
Overlapped Cell IDs  x, y, z  coodinates
(Cells 0       0  indicate undefined region)
       2     103     5.000001E-02 -9.456907E+00  6.397572E+01
       2     103     5.000001E-02 -9.456907E+00  6.421668E+01
       2     103     5.000001E-02 -9.456907E+00  6.445763E+01
       2    6007     5.000001E-02 -9.456907E+00  9.578218E+01
       2    6007     5.000001E-02 -9.456907E+00  9.602314E+01
       2    6001     5.000001E-02 -9.456907E+00  9.626410E+01
       2    6001     5.000001E-02 -9.456907E+00  9.650506E+01
       2    6001     5.000001E-02 -9.456907E+00  9.674602E+01
       2     700     5.000001E-02 -9.456907E+00  9.698697E+01
       2     700     5.000001E-02 -9.456907E+00  9.722793E+01
       2     700     5.000001E-02 -9.456907E+00  9.746889E+01
       2     700     5.000001E-02 -9.456907E+00  9.770985E+01
       2     700     5.000001E-02 -9.456907E+00  9.795081E+01
       2     700     5.000001E-02 -9.456907E+00  9.819176E+01
       2     700     5.000001E-02 -9.456907E+00  9.843272E+01
